case,time_s,x_mm,rear_y_mm,front_y_mm,yaw_deg,raw_offset_mm,filtered_track_err_mm,rear_est_mm,w_cmd_deg_s,left_cmd_mm_s,right_cmd_mm_s,left_act_mm_s,right_act_mm_s,sensor_bitmap,sensor_valid,motor_saturated
contract_degraded_offset,7.3100000000000005,1356.7932956395218,-33.041211963411754,-34.37804057867879,-0.47872205488206804,32.45,-32.449999999999996,-31.11317138473296,7.084333975734316,208.3460343401538,191.6539656598462,191.68693317555784,191.6446378526546,96.0,1.0,0.0
contract_degraded_offset,7.32,1358.7098867148861,-33.05722330165809,-34.393556287554226,-0.47854456449432137,32.45,-32.449999999999996,-31.11366701410386,7.084113618910551,208.3457747383868,191.6542252616132,191.68652266202437,191.64508406301707,96.0,1.0,0.0
contract_degraded_offset,7.33,1360.6264780158879,-33.073228758504996,-34.40907615595395,-0.4783706698774393,32.45,-32.449999999999996,-31.114152602551044,7.0838977262896,208.34552039588482,191.65447960411518,191.68612034807856,191.6455213607843,96.0,1.0,0.0
contract_degraded_offset,7.34,1362.5430695379882,-33.089228453118054,-34.424600102436564,-0.4782002991915617,32.45,-32.449999999999996,-31.114628350681485,7.083686208681109,208.34527120757298,191.65472879242702,191.68572607361006,191.6459499199892,96.0,1.0,0.0
contract_degraded_offset,7.3500000000000005,1364.4596612767375,-33.10522250228153,-34.44012804709812,-0.4780333820001968,32.45,-32.449999999999996,-31.1150944551834,7.083478978637035,208.34502707042896,191.65497292957104,191.685339681517,191.6463699113947,96.0,1.0,0.0
contract_degraded_offset,7.36,1366.3762532277738,-33.12121102044502,-34.45565991154511,-0.4778698492438355,32.45,-32.449999999999996,-31.115551108899897,7.083275950418884,208.34478788344447,191.65521211655553,191.6849610176533,191.64678150255085,96.0,1.0,0.0
contract_degraded_offset,7.37,1368.2928453868226,-33.13719411976902,-34.47119561886761,-0.4777096332140247,32.45,-32.449999999999996,-31.1159985009014,7.083077039965525,208.34455354758734,191.65544645241266,191.68458993077692,191.6471848578513,96.0,1.0,0.0
contract_degraded_offset,7.38,1370.2094377496933,-33.15317191016976,-34.486735093613,-0.47755266752789716,32.45,-32.449999999999996,-31.116436816556753,7.082882164861566,208.34432396576423,191.65567603423577,191.68422627249856,191.64758013858867,96.0,1.0,0.0
contract_degraded_offset,7.390000000000001,1372.1260303122788,-33.16914449936315,-34.50227826176004,-0.4773988871031483,32.45,-32.449999999999996,-31.1168662376031,7.082691244306288,208.34409904278402,191.65590095721598,191.68386989723157,191.6479675030093,96.0,1.0,0.0
contract_degraded_offset,7.4,1374.0426230705532,-33.18511199290789,-34.51782505069336,-0.47724822813345885,32.45,-32.449999999999996,-31.117286942214523,7.0825041990831314,208.3438786853219,191.6561213146781,191.68352066214229,191.6483471063672,96.0,1.0,0.0
